timestamp,Tmp
1632843901.50536,30.39
1632843901.75538,30.39
1632843902.00539,30.39
1632843902.2554,30.39
1632843902.50541,30.41
1632843902.75542,30.41
1632843903.00543,30.41
1632843903.25545,30.41
1632843903.50546,30.39
1632843903.75547,30.39
1632843904.00548,30.39
1632843904.25549,30.39
1632843904.5055,30.39
1632843904.75551,30.39
1632843905.00553,30.39
1632843905.25554,30.39
1632843905.50555,30.41
1632843905.75556,30.41
1632843906.00557,30.41
1632843906.25558,30.41
1632843906.5056,30.39
1632843906.75561,30.39
1632843907.00562,30.39
1632843907.25563,30.39
